Respondent ID,Product 1 (sale price),Product 1 (original price),Product 1 (promotion),Product 2 (sale price),Product 2 (original price),Product 2 (promotion),Product 4 (sale price),Product 4 (original price),Product 4 (promotion),Product 5 (sale price),Product 5 (original price),Product 5 (promotion),Product 6 (sale price),Product 6 (original price),Product 6 (promotion),Product 7 (sale price),Product 7 (original price),Product 7 (promotion),Product 8 (sale price),Product 8 (original price),Product 8 (promotion),Product 9 (sale price),Product 9 (original price),Product 9 (promotion),Product 10 (sale price),Product 10 (original price),Product 10 (promotion),Product 11 (sale price),Product 11 (original price),Product 11 (promotion),Product 12 (sale price),Product 12 (original price),Product 12 (promotion),Product 13 (sale price),Product 13 (original price),Product 13 (promotion),Product 14 (sale price),Product 14 (original price),Product 14 (promotion),Product 15 (sale price),Product 15 (original price),Product 15 (promotion),Product 16 (sale price),Product 16 (original price),Product 16 (promotion),Product 17 (sale price),Product 17 (original price),Product 17 (promotion),Product 18 (sale price),Product 18 (original price),Product 18 (promotion),Product 19 (sale price),Product 19 (original price),Product 19 (promotion),Product 20 (sale price),Product 20 (original price),Product 20 (promotion),Total cart price,Group,Store,Date,Hour
,Honeycrisp apples (1 apple),Honeycrisp apples (1 apple),Honeycrisp apples (1 apple),"Good & Gather Baby-Cut Carrots, 16 oz.","Good & Gather Baby-Cut Carrots, 16 oz.","Good & Gather Baby-Cut Carrots, 16 oz.","Good & Gather Frosty Flakes Cereal, 12 oz.","Good & Gather Frosty Flakes Cereal, 12 oz.","Good & Gather Frosty Flakes Cereal, 12 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 8.5 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 8.5 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 8.5 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Market Pantry Crackers, Saltine, 16 oz.","Market Pantry Crackers, Saltine, 16 oz.","Market Pantry Crackers, Saltine, 16 oz.","General Mills Cheerios, 8.09 oz.","General Mills Cheerios, 8.09 oz.","General Mills Cheerios, 8.09 oz.","Market Pantry Eggs, Large 12 ct.","Market Pantry Eggs, Large 12 ct.","Market Pantry Eggs, Large 12 ct.","CLIF Bar Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.","CLIF Bar Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.","CLIF Bar Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.","KIND Dark Chocolate Nuts & Sea Salt, 6 bars, 6 x 8 oz.","KIND Dark Chocolate Nuts & Sea Salt, 6 bars, 6 x 8 oz.","KIND Dark Chocolate Nuts & Sea Salt, 6 bars, 6 x 8 oz.","Heinz Tomato Ketchup, 20 oz.","Heinz Tomato Ketchup, 20 oz.","Heinz Tomato Ketchup, 20 oz.","Skippy Creamy Peanut Butter, 16 oz.","Skippy Creamy Peanut Butter, 16 oz.","Skippy Creamy Peanut Butter, 16 oz.","Quaker 1-Minute Oats, 42 oz.","Quaker 1-Minute Oats, 42 oz.","Quaker 1-Minute Oats, 42 oz.","Good & Gather Quick Oats, 42 oz.","Good & Gather Quick Oats, 42 oz.","Good & Gather Quick Oats, 42 oz.","Barilla Penne, Non-GMO Pasta Made with Durum Wheat, 16 oz.","Barilla Penne, Non-GMO Pasta Made with Durum Wheat, 16 oz.","Barilla Penne, Non-GMO Pasta Made with Durum Wheat, 16 oz.","Good & Gather Enriched Macaroni Product, Farfalle, 16 oz.","Good & Gather Enriched Macaroni Product, Farfalle, 16 oz.","Good & Gather Enriched Macaroni Product, Farfalle, 16 oz.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",,,,,
114934339700,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934285365,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934285504,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934286271,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934285089,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934285442,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934285818,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934185390,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934238825,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934241486,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,,$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934280098,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934276330,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934279632,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934205970,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934239029,$1.81,,,$1.69,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.24,3-A,Target-MN,9/8/2025,13:00 EST
114934294321,$1.81,,,$1.99,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.54,3-B,Target-MN,9/8/2025,13:00 EST
114934287440,$1.81,,,$1.99,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.54,3-B,Target-MN,9/8/2025,13:00 EST
114934280011,$1.81,,,$1.99,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.54,3-B,Target-MN,9/8/2025,13:00 EST
114934284742,$1.81,,,$1.99,,,,,,$7.69,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$13.99,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.54,3-B,Target-MN,9/8/2025,13:00 EST
114934289352,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934239874,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934287558,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934285830,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934240055,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934285087,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934285724,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934284970,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934282158,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934285483,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934206995,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934276227,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934286029,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934281007,$1.79,,,$1.69,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.62,3-C,Target-MN,9/8/2025,13:00 EST
114934289104,$1.79,,,$1.99,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.92,3-D,Target-MN,9/8/2025,13:00 EST
114934284046,$1.79,,,$1.99,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.92,3-D,Target-MN,9/8/2025,13:00 EST
114934270179,$1.79,,,$1.99,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,"Buy 2, save $1",$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.92,3-D,Target-MN,9/8/2025,13:00 EST
114934235053,$1.79,,,$1.99,,,,,,$7.59,,,$3.99,,,$3.99,,,$1.99,,,$3.99,,,$2.99,,,$14.49,,"Buy $18, get $2 off",$8.99,,,$3.99,,,$3.79,,,$5.99,,,$4.99,,,$1.99,,,$1.39,,,$2.99,,,$4.99,,,$81.92,3-D,Target-MN,9/8/2025,13:00 EST
114934218433,$1.79,,,$1.69,,,,,,$7.99,,,$3.99,,,$3.99,,,$1.99,,,$4.59,,"Buy 2, save $1",$2.99,,,$14.99,,"Buy $18, get $2 off",$8.99,,,$3.69,,,$3.99,,,$6.69,,,$4.99,,,$1.69,,,$1.19,,,$2.99,,,$5.59,,,$83.82,3-E,Target-MN,9/8/2025,13:00 EST
114934287696,$1.79,,,$1.69,,,,,,$7.99,,,$3.99,,,$3.99,,,$1.99,,,$4.59,,"Buy 2, save $1",$2.99,,,$14.99,,"Buy $18, get $2 off",$8.99,,,$3.69,,,$3.99,,,$6.69,,,$4.99,,,$1.69,,,$1.19,,,$2.99,,,$5.59,,,$83.82,3-E,Target-MN,9/8/2025,13:00 EST
114934288113,$1.79,,,$1.69,,,,,,$7.99,,,$3.99,,,$3.99,,,$1.99,,,$4.59,,"Buy 2, save $1",$2.99,,,$14.99,,"Buy $18, get $2 off",$8.99,,,$3.69,,,$3.99,,,$6.69,,,$4.99,,,$1.69,,,$1.19,,,$2.99,,,$5.59,,,$83.82,3-E,Target-MN,9/8/2025,13:00 EST
114934285750,$1.79,,,$1.69,,,,,,$7.99,,,$3.99,,,$3.99,,,$1.99,,,$4.59,,"Buy 2, save $1",$2.99,,,$14.99,,"Buy $18, get $2 off",$8.99,,,$3.69,,,$3.99,,,$6.69,,,$4.99,,,$1.69,,,$1.19,,,$2.99,,,$5.59,,,$83.82,3-E,Target-MN,9/8/2025,13:00 EST
